student_answer,score
a) A conclusion of this procedure would indicate the plastics durbility to a certain amount of weight and which if the plastics is more durable or unstretched than the others. ^p b) One way the students could have improved the experimental design would be stating the types of plastic used. Another way would be by determining how heavy the weights were on the clamps.,1.0
The proteins enter the body.The proteins go into teh cells.The proteins are use by teh cells.The energy from teh proteins is used throughout teh body.,0.0
from year to year.,0.0
1. Kreb cycle when they move carban and oxygen around to make ATP2. Calvin cycle when they use oxygen to make a little ATP3. Active Transport that moves the cells around to make ATP,0.0
"Pandas and koalas are similar because they both require sped food to survive, for instance a panda only eats bamboo and a koala only eats eucalyptus leaves. These animals differ from snakes because snakes can live anywhere in the world because they have no specific food needs that can be found in only one region of the world.",0.0
Mr. Leonard use to be a runner as well.,0.0
"Pandas in China are similar to koalas in Austealila, because a China's panda eats almost nothing but bamboo, and Australia's koala bear which eats eucalyptus leaves according to the article. My opinion is their almost identical to each other.",0.5
"Pandas in China are similar to koalas in Aus because they are both anunaunt  and specialists that eat bamboo &,eucalyptus leaves so they can't be harmful to humans. They live in a certain place, unlike pythons which are generalists so they can rang from Florida to Antartica to outer space.",0.0
"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",3.0
The mRNA must copy its self,0.0
"The word invasive is significant to the article because the animals that are being brought into the country from around the world are forcing our native animals into extinction species in the florida keys."" They are lowering the population of five of our native animals meat are already endangered, just in the florida keys.",1.5
The students did not make it clear as to what materials they used as samples. They also didn't specify how much of each sample. They also did not indicate why the mass was lost or where it went.,1.0
"The mRNA goes into the cytoplasm and experiences transcription, which is the pairing of bases according to the mRNA sequence. Then the full strand is split, and both strands go to the ribosomes to be translated. When the mRNA strands arrive there, translation will occur, which means that tRNA will bring amino acids that code for a particular segment of the mRNA, will attach together. A certain number of the amino acids will then code for a proteins.",2.0
That she has to much thigns to do and its all in her hands. Her mother works very long nights nad her dad work all over the world.,0.0
He organizes it by 'Spac Junk'.,0.0
"The word ""invasive"" has much significance to this article. This is found in the title, as well as throughout the article. The author used the word in reference to species like pythons, or other reptiles. That are brought to an ecosystem unnaturally and pose threats.The story was based off oa invasive species like pythons and how they are affecting Florida.",1.5
Once the mRNA leaves the nucleus is goes through the blood stream. While in the blood stream once it gets to the other nucleus it drops off the information from the nucleus it just came from. After all that the mRNA is needed no longer. Then comes the tRNA that will help the other nucleus figure out the message. Then it helps the nucleus decode the new message to where it will make sense to the nucleus. Then the rRNA comes along. The rRNA picks up on the new decoded message. Once the rRNA is done getting the message it takes it. The last step would be to take the code and make another RNA sequence.,0.0
"The significance of the word invasive relates to a species that is taken and its natural habitat and placed elsewhere. It relates to this article because many people are using reptiles as pets in places that aren't the pets natural habitat, these reptiles are ''invading'' new areas at the globe.",1.0
"The three things that need to be added to replicate this experiment is to place marble, limestone, wood, and plastic each in a different cup filled with vinegar. At the beginning you need to determine the mass of a piece of limestone, marble, wood, and plastic. At the end after you determine the mass calculate the difference in mass by subtracting the first mass of limestone, marble, wood and plastic by by the ending mass of each.",0.0
"white ::  the white is not dark and not light, white is between that .",0.0
The background information Paul has on Mr. Leonard shows that they have something in common. It brings the two closer in the relationship they have. It affects Paul becuase it shows him that he's not the only one out there who has or had the same problems as him.,1.5
"The significance of the word "" invasive"" is to invade. According for Rats they mac I mes."" fled the term "" invasive species"" of unfair, he said ,""They're 'introduced"". I think that ""invasive "" is passing judgement"". The term invasive is to invade.",0.0
"First, the newly formed mRNA branches away from the stand of DNA. Second, the information carried by the mRNA is transported to a new cell. Third, the information carried by the mRNA is copied into the new cell. Lastly, the cell then creates the DNA structures that were copied.",0.0
"The author first makes you aware of what orbits in space. Then he or she illustrates what could happen to all of that debris. In the final paragraph the author shows that even though the debris is small, it is still really dangerous. And closes with a paragraph talking about how space pollution is a persisting issue.",1.5
Pandas and koalas are similar because the both stick to one source of food and they live in one area. They are different from a python because pythons can live in a bunch of different climates and they eat different foods.,1.0
You would need to have four seperate but identical containers. you would also need to pour in each of them Vinegar to determine the mass of the items being placed in them. And new items would be needed to be placed in each of the containers.,0.0
One of the processes used by cells would be the The NUCLEOUS to tell the cell what to do. Then there is the FLAGELUM Which is the tail the moves to help the crell move around. The last one would be the CELL MEMBRAIN That holdeverytjing in and not floting out.,0.0
The author is trying to tell us that space junk is very bad and can do harm to us humans and the evironment. It also can cause problems to the Astronauts in outer space.,0.0
mRNA leaves the nucleaus.the mRna goes and tries to find a new amino acid.They carry the amino acid to the RNa strand.Then it creates a a starnd of different RNS's.,0.0
Rose akways looks on the bright side of things.she knows she can do anything.,0.0
"black ::  The darker the color, the warmer it will be i nside of the doghouse becuase darker colors absorb more energy.",1.0
"Invasive is vary important word for this article. I think invasive mean dangerous or endangered. ""...Placing number of invasive species. Such as the Burmese python"" (5). When I think of a snake or python I think harmful and dangerous. As you can see, this is why invasive is significant in this article knowing it takes about multiple dangerous animals.",0.5
"a. Based on only the data shown one can conclude that plastic the most stretchability out of all the plastic tested because it stretched the most during the experiment one can also assume that plastic type A has the least stretchability because it stretched the least during the experiment. One way that the experimental design could have been improved, is to have controlled the original lengths of all the plastics and make them equal. Another way to have improved the experimental design is to have included the exact weight that was being applied to the plastic.",3.0
"diffusion[ where materials move on water across the membrane], selective permeability[where certain things can leave or enter the cell], and",1.0
The cell wall blocks.Proteins will carry.the transfer of chemical make up or dna.,0.0
Cells Use tails to move. Others just slid acrossand they work together,0.0
"Rose is overwhelmed, you get this idea because whenever you look at the things Rose says you can imagine the feelings that are going through her. One of the examples would be the essay- Rose is overwhelmed with her busy life that she's barley having enough time to just write an essay for the contest.",0.0
Pandas in China are similar to koalas in Australia because they are both specialists they both have very specific eating habits. They are different from the generalist python because pythons can adapt better around humans. They eat a variety of foods and can live in different places.,0.0
"Once Paul finds out about Mr. Leonard past, he is in shock.      Not knowing that the hall monitor, Mr. Leonard, was a star in college; who won the four hundred meter hurdles and broke records.",2.0
white :: I would choose white because i would want my dog to not have all that heat trapped up in a little tiny space. That hot air which is absorbed through dark colors i wouldn't want my dog sitting in that. I would want him to be cool so thats why i choose the white col or as a paint for a doghouse.,1.0
One conclusion that can be based off the student's data is that plastic type B has the most stretchability out of all of the plastics tested.One way this student can improve the experimental design is to add more trials to the experiment. Another way is to set the length the plastic should be because having different plastic lengths can cause experimental error.,3.0
"white :: white will make the doghouse cooler than a da rker color such as black because in the data table it shows that the aver age temperature inside the jar with a white lid was 42(DEG)C and inside the black lid it was 53(DEG)C, that is 11(DEG)C warmer.",2.0
"The mRNA moves from the nucleus to the RNA. Then the rRNA begins to read the mRNA. The tRNA goes to get an amino acid and brings it back to the rRNA. Once it has the amino acid, the protein begins to be replicated.",1.0
Cells have protein channels that direct the movement of substances in and out of the cell. Osmosis is the process in which outside substances can penetrate through cell membrane. Diffusion is the process of substances moving on a gradient from high to low.,0.5
"The China's panda and australia's koala bear are both specialists. They both eat a specific food. The panda eats almost nothing but panda. And bear ""eats eucalyptus leaves almost exclusively."" The python is a generalist which means it can adapt to different types of food; that also makes the python less stable i like the specialists.",1.5
Diffusion of a substance with in a cell.,0.0
Paul finds out that Mr. Leonard was a college track star that broke many records. Then a while later Paul has a conversation with him. Mr. Leonard tells him that he had to drop out because he wasn't a good student. This relates to Paul because he can't read that well.,2.0
"One trait that describes Rose would be stressed. In the story she has to work at a resturant, help her aunt with supper, and do homework. The story also tells me that she would have to 'squeeze' in writing a paper. Telling me that she is pushed for time. Showing that she is stressed.",0.0
The cell membrane has 3 processes that it has.1.) It protects the cell 2.) It moves the cell in any way.3.) It can bring food in or out.,0.0
"In conclusion plastic type D was the most strechable (streched 20mm) and A was the least (streched 10mm). Therefor type D would be the best choice. The design could be improved by adding a controlled, and by adding the new much the weights were.",1.0
Pandas in China are similar to koalas in Australia because they only survive off of one food that is only in their habitat. A uses map showed potential python habitat stretching from California to Delaware and including much of the south.,1.0
Pandas in  China are similar to koalas i Australia because they both prosper off mainly one food source and live in one part of the world unless they are taken away or raised somewhere else. A python differs from these animals because it can be found living in many places and eating many things.,1.0
It is organized by how it happens in chronological order. The satellites would have to crash before they would have junk fall off of them.,0.0
Rose wants the best for her family.Because she talks to her sister about going to coledge.,1.0
"Three types of movement that cells use to move substances acrossed the membrane are, one is osomis. Osomis is the movement of water across the cell membrane. Diffusion is also one, during diffusion a substance moves from high to low concertration.",2.0
"black :: It May affect the dog house by making it warm er than the dark grey , light grey and white paint would.because the colo r black attracts heat more than any other color.",1.0
muscle brain and heart,0.0
"black :: Having a black doghouse might affect the insi de of a doghouse because it would keep it warmer inside because darker co lors such as black absorb heat better. In Brandi and Jerry's experiment t he average temperature for the black lid jar was 53(DEG)C, 5(DEG)C more than the next warmest one, dark gray.",2.0
"When Paul finds out about Mr. Leonard's past he is interested and wants to know more. Once Mr. Leonard explains what happens Paul understands. 'The emotions in Mr. Leonard's words were all too familiar to me,' is what went through his mind. This encourages Paul to help Mr. Leonard learn to read.",2.0
The cell uses the cell wall and the cell membrane to help it move substances through the cell.  These help regulate what gets into the cell and what doesn't.  Once inside the cell the nucleus will decide what is done with those substances.,0.0
The significance  of the word invasive is for a type of species to be in danger. I believe the because in the article it apears about how invasive species are major threats to biodiversity. It also apears about how the animal is not in a correct environment there's s possibility of it going extinct.,1.0
"I believe the word ""Invasive"" means an animal or something that wants to take over. The pythons want to take over the U.S.",0.5
When Paul knows about Mr. Leonard's,0.0
"He orders the passge by what space junk is, how it gets there, and the problem it is causing.",1.0
Rose is a very busy young women.,0.0
He begins by telling us what 'Space Junk' is and then tells us why it is harmful and what harm it can cause. In the end he tells us how scientist are working on a way to fix the 'Space Junk' problem.,1.0
"Osmosis, balancing water levels.Diffusion of cell materials.mRNA leaving the nucleus.",0.0
As the mRna goes out from the nucleus and tells the trna what amino acid to get. Trna goes to find amino acids that will match the RNA sequence. Then the trna gets the amino acids and finds the matching codon  on the rna sequence strand adn pairs with it.This creats an amino acid sequence that tells the cell how to make a protien.,0.5
According to the data table it looks like the plastic type B was stretched the most and plastic A was stretched the best. B. One way the experiment could have improved is if they said what the measurement of the plastic was before the weights were on it. Another thing is they have said how much the weight was that hung on the plastic.,3.0
dark gray :: I picked Dark grey because it will be consistantly 48(DEG)c i know because in the table For each trial it was 48(DEG)c.,0.0
The information he found effected him in a good way. It made him feel better about the fact that he couldn't read. He found out that he wasn't the only one out there that couldn't read and it gave him more reasons to keep going to the learning center to get better at reading. It was the extra push to keep him going.,0.5
For the experiment you would need to know how much vinegar you would need to pour in each cup. For each sample I would need to no what kind of wood or plastic and how much of each sample should be used.,1.0
There are many traits that describe Rose. One of these traits is she has never complained about helping to pay for Paul's college education. One detail that supprots this trait is when she says 'We have our part to do to help Paul finish college.' Rose is willing to work for her family because that is tradition that occurs in Cambodia.,2.0
"white :: if ypu wanted the dog house to be cooler then i would pick a white lid because the whiit lid was an averige of 11(DEG) c cooler then the black, dark grey or light grey",2.0
"I think Rose seems to be caring about not just herself, but of her family. In the beggining of the story she asks how her sister is feeling. She cares fro Paul. She also helps out Aunt Kolab.",2.0
"Rose seem's very stressed, but she handle's it very well. She doesn't give up and she alway's tries to stay looking at the bright side of thing's. Rose show's this when she's talking to Anna and tell's her 'We have our part to do to help Paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college.'",2.0
"Panda's in China are very similar to the koalas in Australia because they both are specialist. For instance, the species in the category, specialists, only eats leaves. In the article, pythons feed on human beings, their generalist.",1.0
"Invasive to the rest of the article means, they went beyond the point that its to much. Example, ""invasive species"", I think that ""invasive"" is a passing judgement. It's too much of a woed to use for that situation.",0.0
white :: i think they should go with white so the dog house doesnt get to hot because the black paints number was 53 for the av erage and the litest color whites average was 42 so i think that the colo r that would be best for the dog house would be white beacuse it re flects less heat from the other three colors which were black dark gre li ght grey and white.,2.0
"invasive  is very significant to the rest of the article because it describes reptiles as how people see them. Many people don't even like to see them in nature because they think they're very dangerous. Even people who own reptiles as pets have a chip inserted in them if they ever escape their home, not for the pets safety, but for the safety of others.",0.0
WSR,2.0
Plastic type D is the most durable. It had the most amount stretched. The student should have wrote in the measurements of the before stretched length and how many weights to add when stretched.,2.0
Based on these results plastic type B and D stretch the most but of the four plastics while plastics A and C sustain their shape much better. The student could have improved the design of this expiriment by setting on exact weight being added to the plastics and by completing one more trial to make a total of three trials.,2.0
I think that he or she organized the atricle to be interesting but at the same time informing the reader about what is going on with space junk and other problems it can have.,0.0
"The three processes that are used by the cells to move across the cell membrane are diffustion, osmosis, and active transport.",0.0
"In this experiment I can conclude that plastic type B was the plastic that was  capable stretching the most. I can tell that plastic type A was the least able to stretch the most compared to other ones. Students can improve the design by having a control so that  they could compare aresults and makes experiment reliable. Also, in the procedure they should tell you how long the plastic should measure, how long the length should be.",2.0
"a.Plastic type B had stretched more than plastic type A in trials 1 and 2. In trial 1 plastic type B stretched 22mm, and in trial 2 it stretched 1 mm more.^p (b)The student could have put the temperature in the experiment because that could've been a cause of the amount stretched of plastic. the student could've as put the start of how much the plastic weighted in mm.",2.0
black ::  if brandi and jerry painted the dog house black then the dog house would be warmer because the darker the color is the energy the dog house can absorb.,1.0
"Three processed used by cells to control the movement of subtances across the cell are called the cilia, flagnelle, and the something else.",0.0
"In this procedure I would of also mentioned weighing the rocks, I would at stated how much vinegar you pour in each container and I would of listed how to find the mass.",1.0
"In order to replicate this experiment, I would first need to know how much vinegar was poured into each container so I don't put in too much or too little. I would also need to know the size of the containers they used because bigger or smaller containers could affect how the vinegar affected the 4 samples and lastly, if I had only looked at the group's procedure, I would need to know what four samples the students used so that I could replicate the experiment. And then, I would need to know where the containers were kept so I could give mine the same amount of light and other things.",3.0
"During the story, Paul does not know much about Mr. Leonard. Paul only finds out about him when he talks to the school's track coach. The track coach had told him to visit a website, so Paul did and found out about Mr. Leonard. Paul was surprised that Mr. Leonard had not mentioned it before and asked him what had happened. After Paul found out that Mr. Leonard could not read, he took it upon himself to repay Mr. Leonard for what he had done for him.",2.0
mRNA gRNA rRNA tRNA,0.0
white ::  If the doghouse is painted white then it will keep the inside of the doghouse colder. In the experiment black paint ma de the air temperature inside the jar have an average of 53(DEG)C and the white paint had an average air temperature inside the jar o f 42(DEG)C.,2.0
"white :: this color will affect the doghouse by making it cooler on the inside because in the air temperature data, Brandi and Jerry figured out that white colors didnt attract much heat because compa red to the black to white lid, the black lid was 11(DEG)C more hot than the white lid.",2.0
The author states he feels the snakes were introduced and that the word invasive is passing judgement on the controry biologists say that invasive species with no natural predators are major threats to biodiversity.,1.0
Rose is positive and kind. I think she is kind because she tries to make others stay positive and see the glass half full. She tries to make others feel as if they are helping and make them feel strong and good about themselves.,1.0
"Some additional information i would need is how they found the mass and what type of instrument was being used. Also when they say place a sample of the material, how much of each type am i going to need.",0.0
"One way they try carry the substances across the cell membrance is that the cells will go through a special kind of door that only allows a certain kind of substance in.Another way is that the special exits that let out a certain kind of substance.And finally, the third one, the way that they are moved into the cell through a door that allows both subtances into the cell.",0.0
"Paul confronts Mr.Leonard about the information he has discovered and, talks about how come Mr.Leonard didn't tell him about him breaking track records.He also asks what happened to him breaking records and mr.Leonard told him he flunked out of college.",0.0
Roes is caring. She worries about her whole family and wants to help make life better for them. during her talk with Anna Roes says 'we have to do our part to help Paul finish college.' showing that she wants what is best for her brother.,2.0
"The world ""invasive"" describes that something is invading & causing harm. The article is trying to disprove that reptiles are invasive.",0.5
"When Paul finds out about Mr. Leonard flunking out of college after being such a great athlete, it motivates him to try harder in school. In paragraph 45, Paul relates to Mr. Leonard's life. Paul explains how he feels the same way now as Mr. Leonard had in the past. This also encourages him to push himself to be able to read better.",2.0
"when the mRNA leaves the nucleus, it connects with proteins, and then it coneects with high energy and it goes around the cell. After that it connects with amino acids.",0.0
three processes used by cells to move substances across the cell mambrane are:1) Active Transport2)3)Difussion,0.0
white :: i would say white because in the experiment t he darker the color the hotter it got. And with white being the lightest color the dog would not get as hot.,2.0
1.they do mitosis so they can stay alive if one cell is dying.2.more substances come in then out3.cell get rid of the stuff they dont need for the cell,0.0
white :: The white lid had the lowest temperature and the black lid had the highest temperature so they would use white so when the temperature outside is hot the inside of the dog house wont get hot because the white paint will deflect the heat.,2.0
"The word ""invasive"" refers to a species that has entered an environment to which it is not native and lies damaged its natural ecosystem. MacInnes claims that the term ""invasive"" implies that the animals were unwanted in the area and says that instead thy were ""introduced"". Snow believes that they are ""invasive"" because they are destroying the natural equilibrium of the environment.",1.5
"black ::  Painting the dog house black (darker colors a bsorb more light) would attract more thermal energy, making the dog house nice and warm for those rainy Washington nights.",1.0
A: I think that plastic D in both trials had the most weights out of the three other plastics from the student's data. ^P B: Two ways that the student could have improved the experimental design is one that the student could have done five trials instead of two to see the difference. Also instead of four plastics but five he or she could improve the statement too.,1.0
"Paul was influenced by Mr. Leonard trying to help him, and it was more helpful to Paul to see that Mr. Leonard had struggled with the same pronlems that Paul himselkf struggles with.  It  means more when someone helps you overcome that one thing that they also had problems doing.  An example would be, Mr. Leonard doesn't help Paul learn to read, but he starts to train him in hurdles, helping him learn how to over come obsticals.",2.0
The term invasive is describing the pythons. Since they are proliferating around the U S. People are describing them as invasive. They are intruding on the land of other animals because they are not native to that area. Invasive is used as a negative look upon what is happening with the pythons.,1.0
"One of the many conclusions that can be drawn from this piece of data is that plastic ""D"" stretched the most and plastic ""A"" stretched the low. Two ways to improve this experiment is one, to add more trials, and two, describe the amount of weighs being added to the clamp. Thus piece of info is crucial.",2.0
Pandas are similar to Koalas because they only one certain thing. They both eat off of bamboo. Panda eats bamboo and the Koala eats the leaves called eucalyptus. They are both different from a python. Pythons could be very dangerous they can eat very big thing EX. Alligators.,1.0
"They should describe what the samples are, how much vinegar do you put in each container.",2.0
genetically changegentic disorderdifferent speciesmutation,0.0
It is organized in different sections to make it easier to understand.,1.0
The readers gets background information about Mr.Leonard is that he was a hall monitor whose job it was to keep students moving along from one classroom to the netx but for paul it was a surprise in all tha they did it.,0.0
"One trait that can describe Rose based on her conversations with Anna is that she is just like her mom. One detail that supports my answer is in paragraph 12. Anna rolled her eyes and shoved her chair away from the table and said, 'You sound just like Mama.'",1.0
The nucleuas sends out the mRNA to the ER and then it goes to the rRna and tells the ribosomes what to do. After that then it goes to tRNA and the proteins are produced.,1.0
1. The mRNA unwinds and reveals inner chains.2. New proteins are added and transcription takes place.3. The proteins are reversed of their old proteins (Thymine is now Adine)4.  The mRNA is fixed and winds back up to become a new protein.,0.0
A. Plastic B stretched the most. Plastic A was the strongest out of all. ^p B. They should have added more weights to see which would have stretched the most and which would be stronger.,1.0
white :: because it could get dirty or somethen.,0.0
"To replicate the experiment you need to be told the four samples the you testing. You also need to know how much vinegar you using, you may also need to know how much you",2.0
This group left same very important thing out of their procedure. First of all they didn't tell us what sumples to use for the experiment. They didn't tell us how much vinegar to use or what size containers we would need all of this information to replicate this lab.,3.0
1. The mRNA leaves the nucleus.2. The genetic material is transcribed into RNA form3. The genetic material is taken to the ribosomes.4. Protein synthesis occurs.,0.0
I think that rose is a shy girl and doesnt want everyone knowing her business. The essay she has to get done for the state competition is making her feel exhausted and moody.,0.0
"The author of the article begins by introducing a complex problem in a simple way. He or she then provides the reader with background information to put the article into perspective. From there, the author goes on to thoroughly explains the problem. Finally, the author clarifies the possible effects of the problem and explains its future course.",1.0
"Both the panda and the koala are specialists, they can only live off 1 thing, or are dependent on something. An animal such as a python which is a specialist, is able to thrive in different environments.",1.0
First theres an introduction and that gets you to want to read and figure out what the purpose of the story is. Then it explains what space junk is and gives history of how it has been made and some history about satellites. After that it gives and example of a time in which an occurance has happened when two satellites collided. Then the story goes on about what precautions and how dangerous it is when they launch space missions or satellites. I thought it was a good way to organize it all.,1.5
"The author organizes the article by putting the information into catagories. They give a brief summary in the introduction, and go straight into the first section; 'What is Space Junk?' The author explains what space junk is, and how it is formed.      Next, they go into what happens if two space satellites collide with each other, in the 'Crash Course' section of the article. They give examples about this topic.     And finally, they end the article with the 'Little Bits, But a Big Deal' section. This talks about the seriousness of space junk.     So overall, the author chooses to organize the article by sorting the information into subjects, based on the different topics of space junk. This makes the article very easy to read and to understand.",2.0
"I beleive Rose is very caring and understanding 'It's only been four months,' Rose said as gently as she could.",2.0
"The reader and Paul share the same mind frame. It states in the article, 'NO other school wanted a runner who couldn't read.' They are both very dedicated to their athletics, however, when you cannot make grades you have to sarafice the things you love for the things you will need to know in the future. In the article it states 'I know them well...I didn't know the answer everyone else knew.' When it comes to education they are both slow at comphrending and understanding what the other students catch onto quicker.",0.5
The mRNA enters the cytoplasm. The mRNA attaches to ribosomes. Then an anticodon (transport RNA) attaches to the mRNA codons matching the sequence of nucleotides. The process shifts and continues to produce proteins.,1.0
In this article the word invasive is a significance of dangerous carnivores such as the Burmese python. These invasive reptiles must have microchips to identify them in the wild. Invasive also means that the animals in this article are wild animals.,0.5
"Invasive, meaning a foreign species that has made a home somewhere it isn't native to. For an example, in the article they speaks of how the Nile nonnter lead. can now be found around cape soral. The animal has the word ""Nile"" in its name.. its obviously not a native species to Florida.",1.0
"One trait of Rose would be that she is hard working. This i so because in the conversation with aunt kolab, she has all these thing to do. It's like she is carrying around the whole family on her shoulder that everything i sup to her. Although she is still young, she still works as hard as she can to do the best for her family, and thats deffeniatly a hard worker.",2.0
"The nucleaus will let in sugar if it needs it, it will produce lysosomes if it absorbs unwatned materiel, it will export protiens to the body if the body needs it.",0.0
"(a) Based on the experiments, plastic type A is the strongest of all plastics, plastic B is the weakest. B is the weakest because it stretched the most and this could be because the plastic is thin, while plastic A was more thick: instead of a linear polymer like B, plastic A was probably a tratched polymer with many different bonds. ^P (b) To improve the expirement, the students should have use the same amount of each plastic to test. The size of the plastic adds another variable to the expirement. They should also specify which weights they use and should make the weight for each plastic constant.",3.0
"After you remove the containers, you rinse them & see what results you get in about so minutes.",0.0
"The three processes on which cells use to control the movement of substances across the cell membrane are respiration, homeostasis, and the lipids going through the cell membrane being able to go in and out.",0.0
"In conclusion, plastic B stretched the most (22 & 23 mm) and plastic A stretched the least (10 & 12 mm). ^p One way to help improve the experiment is to have a constant, which would be each plastic with out any weights. Another way to help improve this experiment is to specify how much weight should be added to the clamp.",2.0
"The Narrater, paul, is shocked beacause Mr. Leanard was helping him and he never told him that he couldnt read either. It drove him to try harder on reading and to help him  beacuse Mr. Leanard never got the chance to get help with reading. 'The emotions in Mr. leanard's words were all to familier to me.'",2.0
black ::  the color will affeect the doghouse because i t will be less hot iin the dog house and black reflects sunlight.,0.0
"The background information that Paul finds about Mr. Leonard has an effect on him. He didn't know, at the beginning, that he was being trained by someone who had won the 400 meter hurdles at nationals.      Mr. Lenonard didn't want to tell Paul at the beginning because he thought that if he had told him, he wouldn't want to train or try something new. However, if Paul had known, things may have been better or would of had a better outcome when he was training.      The saying, 'don't judge a book by it's cover', has meaning here. Mr. Leonard is the book, and just because he's the hall monitor doesn't meant that he didn't have a successful past. Paul getting to know Mr. Leonard was a way for him to become someone.",0.0
"The author organizes this article by first introducing the topic, then explaning what the topic really is. Next the author goes into detail about how 'space junk' can cause major problems because there is no control over the orbit path of this trash. Finally the author goes into detail about how even the smallest piece of trash can become a dangerous thing when in space and that most pieces of space junk smaller than a baseball remain undetected.",2.0
"The word invasive is significance in the article because usually invasive species are brought to their new habitat by humans. However, in this article no one knows how the snakes went native. ''No one knows the snakes went native...wholesale python jail break in 1992.''",0.5
space junk bad for us and space it coses so many problimes like with the skin on a space ship or the wings on a satulight so in sume respectds we need to clen up space just as much as wee need to clean up earth,1.0
"Sugar cells, Tubicles, and charbohydrates",0.0
The nararator becomes more accepting of his mentor and coach. He feels that he has good support under his feet as he takes the path of the sport. You can tell from the way the narrator speaks to Mr. Leonard after he finds out about Mr. Leonard's past,0.0
Protein is transferred.Protein is given a more higher level of itself. makes it stronger.Protein then makes its way to the RNA to keep healthy.,0.0
one is the ribosomestwo is the microtidsthree is the microtons,0.0
"The Chinese panda and koalas  are both specialists. They have a stable diet of one food and only one. Pythons are generalists , according to the actions they adapt easier because they can live off and they unlike the specialists who eat food for one place in the world.",1.5
"The four main steps involed in protein synthesis are transcription, translation, sequencing, and separating. Transcription is when the RNA is read and translation is when the new RNA strans are made.",0.0
Rose hides her emotions for the sake of others. She shows how selfless she is when she does not answer her aunt's question in paragraph 19 (sentence 1).,0.0
"Rose is a good listiner, when she is talking to her Auant Kolab she dosnt say anything and just nods in consideration.",0.0
"The author organizes this article by first grabbing the readers attention and then explaining the history of space travel and space junk.  Through the sixth paragraph the author talks about why space junk is dangerous and how it effects us today.  The author also brings up the tool bag inncident.  Most people wouldn't think it was a big deal if a tool bag was let loose in space, but the author organized this article to explain why it is such a big deal after describing what space junk is and to warn everyone of the dangers of space junk.",1.0
Pandas in China and koalas in Australia are similar because they both only eat almost nothing  but natural environment food like bamboo or leaves. Their both different from python because python are more dangerous they eat big animals or other.,1.0
The use active transport wich requires energy to do so.They use cell respiration wich allows material to go in and out of the cell.,1.0
